x;y;id
30;-29;1
86;-29;2
57;-71;3
62;-101;4
70;-170;5
116;-167;6
152;-171;7
74;-293;8
76;-348;9
74;-390;10
116;-104;11
191;-82;12
222;-162;13
267;-124;14
284;-159;15
174;-215;16
245;-250;17
317;-250;18
351;-212;19
343;-229;20
352;-367;21
361;-396;22
351;-434;23
489;-345;24
315;-479;25
267;-446;26
124;-425;27
113;-381;28
115;-337;29
255;-292;30
161;-337;31
200;-364;32
505;-95;33
548;-155;34
469;-220;35
570;-214;36
598;-135;37
614;-245;38
580;-83;39
612;-46;40
662;-46;41
700;-46;42
657;-162;43
675;-128;44
684;-204;45
668;-233;46
702;-238;47
732;-193;48
772;-249;49
828;-142;50
850;-130;51
745;-91;52
749;-47;53
790;-48;54
899;-46;55
844;-45;56
828;-103;57
849;-103;58
950;-69;59
950;-164;60
950;-216;61
913;-311;62
921;-95;63
914;-197;64
863;-364;65
845;-311;66
861;-287;67
763;-326;68
727;-339;69
582;-346;70
557;-313;71
540;-337;72
581;-300;73
560;-463;74
582;-485;75
688;-486;76
718;-518;77
740;-462;78
771;-439;79
778;-486;80
782;-466;81
685;-554;82
578;-583;83
564;-602;84
560;-643;85
560;-671;86
578;-689;87
603;-643;88
650;-645;89
654;-685;90
737;-688;91
742;-644;92
769;-620;93
800;-583;94
761;-583;95
772;-556;96
770;-530;97
819;-510;98
858;-487;99
851;-582;100
833;-672;101
777;-671;102
895;-672;103
901;-579;104
942;-583;105
941;-506;106
988;-582;107
948;-625;108
951;-650;109
937;-699;110
900;-707;111
987;-699;112
203;-276;113
188;-399;114
229;-401;115
781;-362;116
257;-81;117
628;-487;118
